CSD refcode,CIF filename
ABEFUL,abeful_P1_H
ACIBOE,aciboe_P1_H
ACODON,acodon_P1_charged
ACUFEK,acufek_P1
ACUTOI,acutoi_P1_H
ADASIJ,adasij_P1
ADASOP,adasop_P1
ADATAC,adatac_P1
ADATIK,adatik_P1
ADUWIH,aduwih_P1
ADUWON,aduwon_P1_charged
AFIPAH,afipah_P1_H
AGABIU,agabiu_P1_charged_H
AGESIP,agesip_P1_H
AHEQAH,aheqah_P1_H
AJAKON,ajakon_P1
ALAHUS,alahus_P1
ALEJAE,alejae_P1
ALEJEI,alejei_P1
ALEJIM,alejim_P1
ALOLES,aloles_P1_charged_H
ANEHEI,anehei_P1
ANUGEW,anugew_P1
ANUGIA,anugia_P1
ANUGOG,anugog_P1
ARAGOR,aragor_P1
ATEYED,ateyed_P1_charged_H
AVAJUE02,avajue02_P1
AVAKAL02,avakal02_P1
AVAKEP02,avakep02_P1
AVEQID,aveqid_P1
AVIHOE,avihoe_P1
AWASEY,awasey_P1_H
AWEGEP,awegep_P1_H
AXINIF,axinif_P1_H
AXUBOL,axubol_P1_H
BAKSIS,baksis_P1
BAZFUF,bazfuf_P1
BAZFUF01,bazfuf01_P1
BAZGAM,bazgam_P1
BAZGEQ,bazgeq_P1
BEDYEQ,bedyeq_P1
BEQKAM,beqkam_P1_H
BETHIT,bethit_P1_charged
BICPUA,bicpua_P1
BIGWOG,bigwog_P1
BIHRUI,bihrui_P1
BIHVUM,bihvum_P1_H
BINROH,binroh_P1
BINRUN,binrun_P1
BINSAU,binsau_P1
BIPLAQ,biplaq_P1_H
BIPSUQ,bipsuq_P1
BIRSEC,birsec_P1
BIRSIG,birsig_P1
BOHJAK,bohjak_P1_H
BOKQEZ,bokqez_P1
BOXFAW,boxfaw_P1_charged_H
BOXFEA,boxfea_P1_charged_H
BUFNEW,bufnew_P1_charged_H
BUFNOG,bufnog_P1_charged_H
BUFNUM,bufnum_P1_charged_H
BUFNUM01,bufnum01_P1_charged_H
BUFNUM02,bufnum02_P1_charged_H
BUFPAU01,bufpau01_P1_charged_H
BUJMAX,bujmax_P1_charged
BUJMEB,bujmeb_P1_charged
BUKRUW01,bukruw01_P1_H
BUKSAD,buksad_P1
BUNLAZ,bunlaz_P1_H
BUNMOP,bunmop_P1_charged
BUWMAJ,buwmaj_P1_charged_H
BUXNOZ,buxnoz_P1
CAJQEL,cajqel_P1
CAQHOU,caqhou_P1_H
CAQKAJ01,caqkaj01_P1_H
CARFOT,carfot_P1_charged_H
CAYKEU,caykeu_P1_H
CEBDOD,cebdod_P1_charged_H
CEFLEF,ceflef_P1_H
CEFNEJ,cefnej_P1
CEFNIN,cefnin_P1
CEFNOT,cefnot_P1
CEJCAW,cejcaw_P1_charged_H
CERMIV,cermiv_P1_H
CETFOX,cetfox_P1
CEZCOC,cezcoc_P1_charged
CILXED,cilxed_P1_H
CILXIH,cilxih_P1_H
CIMTAV,cimtav_P1_charged_H
CIPREZ,ciprez_P1_charged
CISMAT,cismat_P1_H
CISMAT01,cismat01_P1_H
CODROD,codrod_P1_H
CODRUJ,codruj_P1_H
COGNAO,cognao_P1_H
COKROL,cokrol_P1
COMDOY,comdoy_P1_H
COPBOB,copbob_P1_charged_H
COQHUN,coqhun_P1_charged
COVPAG,covpag_P1
COYTUG,coytug_P1
COYTUG01,coytug01_P1
COYVAO,coyvao_P1
COYVAO01,coyvao01_P1
COYVES,coyves_P1
COYVES01,coyves01_P1
COZMUA,cozmua_P1_H
CUBQIB,cubqib_P1_charged_H
CUCFEN,cucfen_P1_H
CUCKIV,cuckiv_P1_H
CUDHER,cudher_P1_H
CUGQEC,cugqec_P1_H
CUJXOW,cujxow_P1_H
CUJXUC,cujxuc_P1_H
CUKXUC,cukxuc_P1_H
CUMSEL,cumsel_P1
CUNFID,cunfid_P1
CUSDIE,cusdie_P1_charged_H
CUSLAG,cuslag_P1_charged_H
DABGIZ,dabgiz_P1_H
DACZUF,daczuf_P1
DAJWET,dajwet_P1_charged
DAKVOC,dakvoc_P1
DAKVUI,dakvui_P1
DALSER,dalser_P1_charged_H
DANROC,danroc_P1_H
DANZAV,danzav_P1_charged_H
DANZEZ,danzez_P1_charged_H
DANZID,danzid_P1_charged
DAPYAW,dapyaw_P1_charged
DAWWEF,dawwef_P1_H
DEGPEL,degpel_P1_charged_H
DEWQUS,dewqus_P1_charged_H
DIBQEM,dibqem_P1_H
DIBQIQ,dibqiq_P1
DIBQOW,dibqow_P1_H
DIGPER,digper_P1
DIHVIB02,dihvib02_P1
DIMBOT,dimbot_P1_H
DITJOH,ditjoh_P1_H
DIVYOZ,divyoz_P1_charged_H
DOMGET,domget_P1
DONNEA,donnea_P1_H
DOPHOH,dophoh_P1_H
DOPHUN,dophun_P1_H
DORNAB,dornab_P1
DOZCEC,dozcec_P1_charged
DOZKIO,dozkio_P1
DUFJOG,dufjog_P1
DUFKAS,dufkas_P1_charged_H
DUFZOU,dufzou_P1_H
DUFZUA,dufzua_P1_H
DUGBAJ,dugbaj_P1_H
DUPJAB,dupjab_P1_charged
DUQNIP,duqnip_P1
DUVNOA,duvnoa_P1_H
DUXSIA,duxsia_P1
DUZKAM,duzkam_P1_charged
EBEWIT,ebewit_P1
EBEXAM,ebexam_P1_H
EBIHEE,ebihee_P1_H
EBOTOF,ebotof_P1
EBUVAA,ebuvaa_P1_H
ECEZAO,ecezao_P1_H
ECEZAO01,ecezao01_P1_H
ECINUC,ecinuc_P1
ECOKAJ,ecokaj_P1
EDEPAG,edepag_P1
EDOVEA,edovea_P1_charged
EDOVIE,edovie_P1_charged_H
EGAFOJ,egafoj_P1
EGAFUP,egafup_P1
EGAGAW,egagaw_P1
EJOQUR,ejoqur_P1
EJORAY,ejoray_P1_H
EKEQIV,ekeqiv_P1_H
ELERIY,eleriy_P1
EMUBIZ,emubiz_P1
ENESOH,enesoh_P1_charged_H
ENESUN,enesun_P1_charged_H
ENIHUG01,enihug01_P1
ENISOK,enisok_P1_H
ENITAX,enitax_P1
EPISOM,episom_P1
